property-title,rating,price,price_with_tax
"Chambre · Lisbonne, Portugal",Évaluation,,370 € au
"Chambre · Sintra, Portugal",Évaluation,,343 € au
"Appartement ⋅ Rouen, France",Évaluation,,320 € au
"Appartement ⋅ Séville, Espagne",Évaluation,,498 € au
"Chambre · Paris, France",Évaluation,,681 € au
"Appartement ⋅ Séville, Espagne",Évaluation,,365 € au
"Chambre · Lisbonne, Portugal",Évaluation,,903 € au
"Appartement ⋅ Offenbach am Main, Allemagne",Évaluation,,399 € au
"Appartement ⋅ Séville, Espagne",Évaluation,,421 € au
"Chambre · Séville, Espagne",Évaluation,,204 € au
"Appartement ⋅ Lisbonne, Portugal",Évaluation,,760 € au
"Appartement ⋅ Belgrade, Serbie",Évaluation,,401 € au
"Maison de ville ⋅ Chamalières, France",Évaluation,,304 € au
"Tiny house ⋅ Surrey, Royaume-Uni",Évaluation,,584 € au
"Appartement ⋅ Thessalonique, Grèce",Évaluation,,318 € au
"Appartement ⋅ Belgrade, Serbie",Évaluation,,283 € au
"Appartement ⋅ Strasbourg, France",Évaluation,,506 € au
"Chambre · Tyne and Wear, Royaume-Uni",Évaluation,,211 € au
